Name,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Miles Price,Source,Source Notes,Version,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,Interact,Tag,Outdoor,Speaker Type,Lighting Type,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
  DINER MINI TABLE  ,Blue,NA,NA,NA,No,No,No,NA,,,Gray,Blue,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,None,diner,None,No,Table,No,Does not play music,No lighting,For sale,FtrAmeretroTableS_Remake_1_0,1_0,4441,ZWEKxPnrbWG7vsDky
  log extra-long sofa  ,White birch,Lumber type,Quilted,Cushions,Yes,No,Yes,4,NFS,,White,Light blue,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaL_Remake_3_4,3_4,4044,G4GfK5Gj6gdZqmaRF
  bathroom sink  ,White,NA,NA,NA,No,No,No,NA,3300,825,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,Yes,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWashstand_Remake_0_0,0_0,1229,XsomNbeiyXXsDYs9m
log chair,Dark wood,Lumber type,Bears,Cushion,Yes,Yes,Yes,3,NFS,960,Brown,Brown,1x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaS_Remake_0_3,0_3,4039,PxYggFoTTtkcL326g
    rocking chair    ,White,Lumber type,NA,NA,Yes,Yes,No,2,NFS,960,White,White,1x1,NA,Crafting,,1.0.0,living room,None,None,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrRockingchair_Remake_3_0,3_0,1103,itm2ysqveinM3g6Nb
    log dining table    ,White wood,Lumber type,Bears,Placemats,Yes,Yes,Yes,4,NFS,1800,Beige,Brown,2x2,NA,Crafting,,1.0.0,garden,living room,log,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrLogTableL_Remake_2_3,2_3,4040,hfMfYDgJKWzqHCThz
  poolside bed  ,Light brown,NA,White,Bed mat,No,No,Yes,2,3400,,Beige,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,ocean,expensive,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrPoolsidebed_Remake_0_0,0_0,4102,Kr6dRhAqBbPFbD5qf
    drum set    ,Cosmo black,NA,White with logo,Bass drum head,No,No,Yes,2,5600,1400,Black,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrDrumSet_Remake_1_3,1_3,1803,EyJABze6ajWPuNnFW
log extra-long sofa,White wood,Lumber type,Southwestern flair,Cushions,Yes,Yes,Yes,4,,1920,Beige,Colorful,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaL_Remake_2_1,2_1,4044,McGWpiAkNdAWotQKX
  OUTDOOR TABLE  ,Black,NA,Black,Table,No,No,Yes,1,,550,Black,Black,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,outdoors,None,None,None,No,Table,Yes,Does not play music,No lighting,For sale,FtrOutdoortableM_Remake_1_1,1_1,3946,bMFpm9na53ktxfMJK
WOODEN CHEST,Black,Paint color,NA,NA,Yes,Yes,No,3,NFS,1920,Black,Black,2x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Wardrobe,Chest,No,Does not play music,No lighting,Not for sale,FtrWoodenChest_Remake_4_0,4_0,2560,fZ7ha4M3KShWJNzvg
    angled signpost    ,Resident Services,Navigation,NA,NA,Yes,Yes,No,1,NFS,600,Beige,Brown,1x1,NA,Crafting,,1.0.0,garden,None,None,None,No,Vehicle,Yes,Does not play music,No lighting,Not for sale,FtrSignpostTilt_Remake_3_0,3_0,7867,D2bHBoj8ZotiBiahp
    paper lantern    ,Orange wood,NA,Plain,Paper,No,No,Yes,1,,195,Orange,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,zen-style,None,None,None,Yes,Lamp,No,Does not play music,Candle,For sale,FtrLampJapan_Remake_2_0,2_0,725,88wjSt6CEYKFSJRRy
  beach chair  ,Yellow,NA,NA,NA,No,No,No,NA,920,230,Yellow,Green,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,ocean,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrBeachbed_Remake_4_0,4_0,664,54w6Zog7Jq2mBydMr
  electric guitar  ,Sunburst,NA,Chic logo,Sticker area,No,No,Yes,7,71000,,Brown,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_3_2,3_2,1645,5AQpmXqGKaZCaeEbJ
  monstera  ,Red,NA,NA,NA,No,No,No,NA,1700,425,Red,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantMonstera_Remake_2_0,2_0,4129,F5Ju8GEjoPDy2vuot
    elephant slide    ,White,NA,NA,NA,No,No,No,NA,,1050,White,Pink,2x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,child's room,None,None,No,Playground,No,Does not play music,No lighting,For sale,FtrSlideelephant_Remake_5_0,5_0,86,QArKWvNfMKAFsTzq4
Mama panda,NA,NA,NA,NA,No,No,No,NA,3500,875,Black,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fancy,child's room,None,panda,No,Animal,No,Does not play music,No lighting,For sale,FtrPandaM,NA,9699,YBwCfHZkmrAaMyNBj
hammock,Black,NA,Colorful,Cloth,No,No,Yes,1,1300,325,Black,Colorful,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrHammock_Remake_6_0,6_0,1620,A8mxFXPpYRQ3nMF62
    SIMPLE PANEL    ,Light gray,NA,Lattice,Panel design,No,No,Yes,1,810,202,Gray,White,1x0.5,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,No,Screen,No,Does not play music,No lighting,For sale,FtrScreenSimple_Remake_0_4,0_4,5338,WZW2QKM2pTtb7w8jM
  CONE  ,White,NA,NA,NA,No,No,No,NA,630,157,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,garage,None,None,No,Vehicle,Yes,Does not play music,No lighting,For sale,FtrPylon_Remake_3_0,3_0,146,2fvMZtzN6vw4sHxSK
    wooden-block bed    ,Vivid,Block color,NA,NA,Yes,Yes,No,4,NFS,2400,Yellow,Colorful,2x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrBlockBedS_Remake_4_0,4_0,1557,E7HztcoYcDX8ah6pG
  drum set  ,Rose pink,NA,Black with logo,Bass drum head,No,No,Yes,2,5600,1400,Red,Black,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrDrumSet_Remake_5_2,5_2,1803,PJJjEasBWCceAzg38
  FAN PALM  ,Red,NA,NA,NA,No,No,No,NA,,300,Red,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantYamadoriyashi_Remake_5_0,5_0,1288,PTHJBNrYLxPZMZxSz
WRITING CHAIR,Natural,NA,Blue,Seat,No,No,Yes,1,1700,425,Beige,Blue,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,writing,Yes,Chair,No,Does not play music,No lighting,For sale,FtrStudyChair_Remake_0_1,0_1,3702,qGBH4DWTjBzHHJL5q
  WOODEN DOUBLE BED  ,White wood,Paint color,Orange,Bedding,Yes,Yes,Yes,6,NFS,3600,White,Orange,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_1_0,1_0,7132,bKST8vi5KZfEniuiv
  CARDBOARD TABLE  ,Plain,Cardboard,NA,NA,Yes,Yes,No,1,NFS,,Yellow,Yellow,2x2,NA,Crafting,,1.0.0,garage,None,cardboard,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrCardboardTableL_Remake_0_0,0_0,7160,oWfyQn9HBFh79uJpZ
  IRONWOOD DIY WORKBENCH  ,Teak,Lumber type,NA,NA,Yes,Yes,No,7,NFS,8520,Orange,Black,2x1,NA,Crafting,,1.0.0,garage,None,ironwood,None,Workbench,Work Bench,No,Does not play music,No lighting,Not for sale,FtrWorkbenchIronwood_Remake_1_0,1_0,3943,FsoLHNwh7gnz2iZPJ
  digital scale  ,Black,NA,White,Design,No,No,Yes,1,,232,Black,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_1_0,1_0,3307,DEzrDq45gQo6yhZma
  rattan wardrobe  ,Black,NA,NA,NA,No,No,No,NA,,1725,Black,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,rattan,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrRattanClosetLR_Remake_5_0,5_0,4049,qLwCCZr989agy46vJ
    poolside bed    ,Brown,NA,White,Bed mat,No,No,Yes,2,3400,850,Orange,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,ocean,expensive,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrPoolsidebed_Remake_1_0,1_0,4102,xxamAMS8PfEciTwur
    cardboard bed    ,Labeled,Cardboard,NA,NA,Yes,Yes,No,1,NFS,,Yellow,Yellow,2x1,NA,Crafting,,1.0.0,garage,None,cardboard,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrCardboardBedS_Remake_1_0,1_0,7161,aBGNMfGmbvq5XLarF
  cacao tree  ,NA,NA,NA,NA,No,No,No,NA,2300,575,Green,Brown,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,No,Plants,No,Does not play music,No lighting,For sale,FtrPlantCacao,NA,1277,ZSqvuvwvkno5cSRbj
  drink machine  ,Red,NA,Orange juice,Advertisement panel,No,No,Yes,7,NFS,10000,Red,Orange,1x1,2000,Nook Miles Shop,,1.0.0,shop,facility,None,None,Yes,Facility Decor,Yes,Does not play music,Monitor,Not for sale,FtrDrinkmachine_Remake_0_0,0_0,1802,QRoa6WtcrPAcJSr8n
CARDBOARD CHAIR,Labeled,Cardboard,NA,NA,Yes,Yes,No,1,NFS,,Beige,Beige,1x1,NA,Crafting,,1.0.0,garage,None,cardboard,None,Yes,Chair,No,Does not play music,No lighting,Not for sale,FtrCardboardChairS_Remake_1_0,1_0,7163,ByPDFJS9MpsPS2zfu
  SLEEPING BAG  ,Red,NA,NA,NA,No,No,No,NA,1400,350,Red,Blue,2x1,NA,Nook's Cranny,"Available in all tiers of shops, including Timmy & Tommy before the shop is opened",1.0.0,outdoors,None,None,None,Yes,Bed,Yes,Does not play music,No lighting,For sale,FtrSleepingbag_Remake_7_0,7_0,1434,gySoF6o3E2dBzfjL9
PLASTIC POOL,Green,NA,NA,NA,No,No,No,NA,,775,Green,Red,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,garden,None,None,None,Yes,Garden,Yes,Does not play music,No lighting,For sale,FtrGardenpool_Remake_2_0,2_0,3348,T7Wgna3LXbxvTG98F
  DRUM SET  ,Marine blue,NA,White with logo,Bass drum head,No,No,Yes,2,,,Blue,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrDrumSet_Remake_4_3,4_3,1803,kR5HhLdsuKKyZb6FX
  SCHOOL CHAIR  ,White & red,NA,NA,NA,No,No,No,NA,,245,White,Red,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,None,None,school,Yes,Chair,No,Does not play music,No lighting,For sale,FtrSchoolChairS_Remake_3_0,3_0,1308,ZvwHXgonhNnHJMH6q
LOFT BED WITH DESK,Blue,NA,Light blue,Bedding,No,No,Yes,3,7700,1925,Blue,Light blue,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_4_2,4_2,3621,dzRAzyEPRvD8XRGtG
  rock guitar  ,Fire red,NA,Pop logo,Sticker area,No,No,Yes,2,,775,Red,Colorful,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar1_Remake_3_6,3_6,1644,Ag9sqsKT4jw968Aeq
  LOG BED  ,Dark wood,Lumber type,Quilted,Bedding,Yes,Yes,Yes,6,NFS,3600,Brown,Light blue,2x2,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrLogBedW_Remake_0_3,0_3,4041,GX5ppDoiytQkgXipG
exercise ball,Black,NA,NA,NA,No,No,No,NA,,,Black,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fitness,office,None,None,Yes,Sports,No,Does not play music,No lighting,For sale,FtrBalanceball_Remake_3_0,3_0,1598,g4AHhkiygXAY4KFgo
    BABY CHAIR    ,Yellow,NA,Butterfly,Cushion,No,No,Yes,1,,300,Yellow,Orange,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,None,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBabychair_Remake_2_2,2_2,3305,2viSrxqmyLaJvzTCN
  stall  ,Pink,Variation,Red stripes,Curtain,Yes,Yes,Yes,3,NFS,1440,Pink,Red,2x1,NA,Crafting,,1.0.0,shop,party,None,None,No,Shop,Yes,Does not play music,No lighting,Not for sale,FtrFloat_Remake_4_2,4_2,3617,FpXB8JS8T45xgreWt
  log decorative shelves  ,White birch,Lumber type,Quilted,Mat,Yes,No,Yes,4,NFS,1560,White,Light blue,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,No,Shelf,No,Does not play music,No lighting,Not for sale,FtrLogShelf_Remake_3_4,3_4,4036,cg3EH7zYuZPi7jhzW
  three-tiered snowperson  ,Blue,Knit-cap color,NA,NA,Yes,Yes,No,7,NFS,7420,Blue,White,1x1,NA,Snowman,Reward for making a perfect snow-person,1.0.0,freezing cold,garden,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrSnowman_Remake_0_0,0_0,5337,ctnJAyfZZ39QEnK5G
  FLOOR LAMP  ,Black,NA,Gray,Lampshade,No,No,Yes,1,1400,350,Black,Gray,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,living room,None,None,None,Yes,Lamp,No,Does not play music,Fluorescent,For sale,FtrLamp_Remake_3_1,3_1,2561,M42csmHrejKRmFoG7
    anatomical model    ,NA,NA,NA,NA,No,No,No,NA,,875,Colorful,Beige,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,expensive,None,None,No,Hospital,No,Does not play music,No lighting,For sale,FtrAnatomicalmodel,NA,1317,t2LzAKDofAZYyqZ6r
  electric guitar  ,Marine emerald,NA,Pop logo,Sticker area,No,No,Yes,7,71000,,Light blue,Colorful,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,concert,None,None,None,Yes,Musical Instrument,No,Does not play music,No lighting,For sale,FtrElectricguitar2_Remake_4_6,4_6,1645,ka6WxM6xGXadQHzJR
  EFFECTS RACK  ,Red,NA,Chic logo,Sticker area,No,No,Yes,3,6800,1700,Red,White,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,concert,facility,None,None,No,Musical Instrument,No,Does not play music,No lighting,For sale,FtrEffectorrack_Remake_4_2,4_2,950,pLmtKXJQhpyf6wpMf
  TRICYCLE  ,Blue,NA,NA,NA,No,No,No,NA,1600,400,Blue,Green,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,garden,child's room,None,None,No,Playground,Yes,Does not play music,No lighting,For sale,FtrTricycle_Remake_2_0,2_0,1199,5jhutEzFeoRcyYbDf
  CYPRESS PLANT  ,Black,NA,NA,NA,No,No,No,NA,1000,250,Green,Black,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,No,Plants,Yes,Does not play music,No lighting,For sale,FtrPlantGoldcrest_Remake_3_0,3_0,1829,vZfjrbssxQJhN7roR
  standing toilet  ,NA,NA,NA,NA,No,No,No,NA,,475,White,White,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,Yes,Toilet,No,Does not play music,No lighting,For sale,FtrWCUrinal,NA,1217,ub9ET6HqmoHDwc4Pu
  claw-foot tub  ,Blue,NA,NA,NA,No,No,No,NA,63000,15750,Light blue,White,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,bathroom,expensive,None,None,No,Bathtub,No,Does not play music,No lighting,For sale,FtrBathtubCabriole_Remake_3_0,3_0,1757,FfwsgEDa7yWqDMztz
    throwback hat table    ,White & blue,NA,NA,NA,No,No,No,NA,,,White,Blue,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,child's room,fitness,throwback,None,No,Table,No,Does not play music,No lighting,For sale,FtrBoyTableL_Remake_5_0,5_0,4760,tpDRyQ5v4kbLRMHWC
  iron worktable  ,Black,Body color,NA,NA,Yes,Yes,No,7,NFS,,Black,Black,2x1,NA,Crafting,,1.0.0,garage,None,iron,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrIronTableM_Remake_0_0,0_0,3560,Tebe6Ep2AgLHHbrfY
  KITCHEN ISLAND  ,Light brown,NA,NA,NA,No,No,No,NA,,,Beige,White,2x2,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,kitchen,expensive,None,None,No,Kitchen,No,Does not play music,No lighting,For sale,FtrKitchenIsland_Remake_3_0,3_0,998,cRTus3fqsvu2mrXfG
    SIMPLE PANEL    ,Black,NA,Pegboard,Panel design,No,No,Yes,1,810,202,Black,Brown,1x0.5,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,facility,None,None,None,No,Screen,No,Does not play music,No lighting,For sale,FtrScreenSimple_Remake_1_2,1_2,5338,QmuKdrTZZzWi7jaGv
  wooden wardrobe  ,Green,Paint color,NA,NA,Yes,Yes,No,2,NFS,1440,Green,Green,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Wardrobe,Chest,No,Does not play music,No lighting,Not for sale,FtrWoodenCloset_Remake_5_0,5_0,3436,ypqaqu6czep9KhWf9
  wooden mini table  ,Pink wood,Paint color,Pink,Tablecloth,Yes,Yes,Yes,2,,720,Pink,Pink,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableMini_Remake_7_2,7_2,7133,o4QnTdb74Xzsvsh8C
  log extra-long sofa  ,White birch,Lumber type,Bears,Cushions,Yes,No,Yes,4,NFS,1920,White,Brown,2x1,NA,Crafting,,1.0.0,garden,living room,log,None,Yes,Sofa,No,Does not play music,No lighting,Not for sale,FtrLogSofaL_Remake_3_3,3_3,4044,ojpRY6w8WA6R58fr4
  mama bear  ,Choco,NA,None,Shirt,No,No,Yes,1,2300,,Brown,Brown,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,fancy,child's room,None,bear,No,Animal,No,Does not play music,No lighting,For sale,FtrBearM_Remake_2_0,2_0,1500,sAHp3mdsQNBr6dFQc
  changing room  ,Pink,NA,Purple,Curtain,No,No,Yes,2,,,Pink,Purple,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Wardrobe,Shop,No,Does not play music,No lighting,For sale,FtrFittingroom_Remake_6_1,6_1,1816,CTDPimSvents862wR
  WOODEN END TABLE  ,Blue,Paint color,NA,NA,Yes,Yes,No,2,NFS,960,Blue,Colorful,1x1,NA,Crafting,,1.0.0,child's room,living room,wooden,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrWoodenTableS_Remake_6_0,6_0,3438,fnjMyqMBsQNDbTdjJ
SERVER,NA,NA,NA,NA,No,No,No,NA,100000,25000,Black,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,office,facility,None,None,Yes,Office,No,Does not play music,No lighting,For sale,FtrServer,NA,1126,7qaEQgzjaGm7XAep9
    LOFT BED WITH DESK    ,Brown,NA,Red stripes,Bedding,No,No,Yes,3,7700,1925,Red,Colorful,2x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,child's room,None,None,None,Yes,Desk,No,Does not play music,No lighting,For sale,FtrBeddesk_Remake_1_7,1_7,3621,dcPdLnFTXivKp4XZ7
  MUSIC STAND  ,Black,Body,NA,NA,Yes,Yes,No,2,NFS,960,Black,White,1x1,NA,Crafting,,1.0.0,music,None,None,None,No,Musical Instrument,No,Does not play music,No lighting,Not for sale,FtrMusicstand_Remake_3_0,3_0,1058,vrCj5LDvrh4LkYvAo
  STANDARD UMBRELLA STAND  ,Green,Body color,Stripes,Favorite umbrella,Yes,Yes,Yes,4,NFS,2250,Green,Colorful,1x1,NA,Crafting,,1.0.0,school,office,None,None,No,Supplies,No,Does not play music,No lighting,Not for sale,FtrUmbrellastand_Remake_3_0,3_0,3445,gQGXZNreHmyAqh5hH
pull-up-bar stand,Blue,NA,NA,NA,No,No,No,NA,,1200,Blue,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,fitness,None,None,None,No,Sports,No,Does not play music,No lighting,For sale,FtrPullupstand_Remake_3_0,3_0,7845,8KFoZy6QdCtjkLfmZ
  wooden double bed  ,White wood,Paint color,Green,Bedding,Yes,Yes,Yes,6,NFS,3600,White,Green,2x2,NA,Crafting,,1.0.0,child's room,living room,wooden,None,Yes,Bed,No,Does not play music,No lighting,Not for sale,FtrWoodenBedW_Remake_1_3,1_3,7132,RMk8TS86ARZgaSXcZ
  ironwood low table  ,Oak,Lumber type,NA,NA,Yes,Yes,No,5,,3720,Orange,White,2x1,NA,Crafting,,1.0.0,living room,None,ironwood,None,No,Table,No,Does not play music,No lighting,Not for sale,FtrIronwoodTableM_Remake_4_0,4_0,3194,imxGnbxAEpuK2MaqR
    DIGITAL SCALE    ,Black,NA,Wood,Design,No,No,Yes,1,,,Black,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,bathroom,None,None,None,No,Bathroom Things,No,Does not play music,No lighting,For sale,FtrWeightscale_Remake_1_4,1_4,3307,HhkuSM9FphmuNYuYA
  wooden-block chest  ,Pastel,Block color,NA,NA,Yes,Yes,No,3,,1800,Light blue,Colorful,2x1,NA,Crafting,,1.0.0,child's room,None,wooden block,None,Wardrobe,Chest,No,Does not play music,No lighting,Not for sale,FtrBlockChest_Remake_3_0,3_0,1561,FW9CuwKQWM2EyY62K
box corner sofa,Yellow,NA,NA,NA,No,No,No,NA,,675,Yellow,Black,1x1,NA,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,shop,facility,None,None,Yes,Chair,No,Does not play music,No lighting,For sale,FtrBoxsofaCorner_Remake_4_0,4_0,1853,LotMmnhHt8mbf9LpL
  WEDDING WELCOME BOARD  ,Garden,Easel,Reese & Cyrus,Board,No,Yes,Yes,2,1500,375,Yellow,White,1x1,NA,Wedding Season,,1.2.0,party,expensive,wedding,None,No,Shop,No,Does not play music,No lighting,Not for sale,FtrWeddingBoard_Remake_2_1,2_1,12410,qdJYrzsqca4dQqMbJ
  frozen pillar  ,Ice orange,Illumination,NA,NA,Yes,Yes,No,7,,,Orange,Orange,1x1,NA,Crafting,,1.0.0,freezing cold,None,frozen,None,No,Seasonal Decor,Yes,Does not play music,No lighting,Not for sale,FtrIcePillar_Remake_4_0,4_0,3500,9CXf3G9FFM5B4FXqE
  upright locker  ,Black,NA,Cute,Sticker area,No,No,Yes,2,,925,Black,Pink,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,school,facility,None,None,Wardrobe,Chest,No,Does not play music,No lighting,For sale,FtrLocker_Remake_2_2,2_2,833,Ain5vZCdHsEJfdkuZ
air circulator,Black,NA,NA,NA,No,No,No,NA,1100,275,Black,Gray,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,office,None,None,Yes,Fan,Yes,Does not play music,No lighting,For sale,FtrCirculator_Remake_1_0,1_0,3821,E2dZPSD94isFZWd2F
    tire toy    ,Black,Tire color,NA,NA,Yes,Yes,No,1,NFS,20,Black,Black,1x1,NA,Crafting,,1.0.0,garden,None,None,None,Yes,Playground,Yes,Does not play music,No lighting,Not for sale,FtrPlayingtire_Remake_0_0,0_0,2329,34HvtXukuSGxCKdr5
  cat tower  ,Gray,NA,NA,NA,No,No,No,NA,3000,,Gray,Yellow,1x1,NA,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,living room,None,None,None,Yes,Animal,No,Does not play music,No lighting,For sale,FtrCattower_Remake_3_0,3_0,896,Y953xJRFab2fkLDLt
iron garden table,Brown,Body color,NA,NA,Yes,Yes,No,5,,3750,Brown,Brown,1x1,NA,Crafting,,1.0.0,garden,None,iron,None,No,Table,Yes,Does not play music,No lighting,Not for sale,FtrIrongardenTable_Remake_2_0,2_0,1627,JioJ8kboekh2siw8D
clothesline,NA,NA,Green plaid,Drying shirt,Yes,No,Yes,2,,100,Brown,Green,2x0.5,NA,Crafting,,1.0.0,garden,None,None,None,No,Supplies,Yes,Does not play music,No lighting,Not for sale,FtrClothesline_Remake_0_4,0_4,3229,Fk5H349YAQ4tmo7wi
