Name,Species,Gender,Personality,Hobby,Birthday,Catchphrase,Favorite Song,Style 1,Style 2,Color 1,Color 2,Wallpaper,Flooring,Furniture List,Filename,Unique Entry ID
Poncho,Cub,Male,Jock,Fitness,2-Jan,li'l bear,K.K. Blues,Simple,Simple,Orange,Yellow,blue simple-cloth wall,blue-paint flooring,4030;7521;7521;8298;1227;1783;4048;3683;1277;3438;4338;7521;4015;8298;7518;8298;929;4125;1929,cbr02,2yyqShsyFuek2xsPq
Vladimir,Cub,Male,Cranky,Play,2-Aug,nyet,Agent K.K.,Simple,Cool,Yellow,Colorful,chain-link fence,ramshackle flooring,3943;787;4081;2556;144;2553;146;2553;1802;8417;146,cbr06,Eskwc34f2x6Qx6ZNT
  puddles  ,Frog,Female,Peppy,Fashion,13-Jan,splish,K.K. Disco,Cute,Gorgeous,Green,Pink,blue subway-tile wall,mint dot flooring,937;1852;4129;1853;3962;1852;863;3428;941;1087,flg06,TuEiYBT2nG3qNT2RX
  BUCK  ,Horse,Male,Jock,Fitness,4-Apr,pardner,My Place,Active,Simple,Gray,Brown,pastel dotted wall,green vinyl flooring,3205;3672;1792;4756;85;7134;4125;4762;3252;1870;2736,hrs00,Xi74RYjLgeBB8vopx
  Chester  ,Cub,Male,Lazy,Play,6-Aug,rookie,Imperial K.K.,Simple,Simple,Yellow,Green,bamboo-grove wall,bamboo flooring,5979;3555;10743;710;5978;5977;5977;710;7348;9698,cbr15,46bDn76rBA3hNjFZu
  pierce  ,Eagle,Male,Jock,Fitness,8-Jan,hawkeye,K.K. Gumbo,Elegant,Active,Orange,Yellow,blue camo wall,simple blue flooring,4759;1241;4761;8417;4760;4758;7845;2560;4756;4754;4003,pbr02,aavqm5o5TcTxgrBs6
  Fang  ,Wolf,Male,Cranky,Education,18-Dec,cha-chomp,K.K. Steppe,Simple,Cool,White,Light blue,arched-window wall,brown honeycomb tile,3957;790;2554;3956;3954;3951;1145;742;870;2561,wol06,PFvvq6NGpsRgCwg2z
NAN,Goat,Female,Normal,Nature,24-Aug,kid,K.K. Étude,Simple,Elegant,Orange,Yellow,black botanical-tile wall,white iron-parquet flooring,1875;3681;998;2554;4046;4054;4338;4114;6503;4052;4051,goa01,oGFWxL6p7g9Hq5LWK
  Genji  ,Rabbit,Male,Jock,Fitness,21-Jan,mochi,King K.K.,Elegant,Simple,Green,Purple,gold-screen wall,mossy-garden flooring,3580;7393;6031;716;710;7282;5976;677;7391;725,rbt08,zFPwakzpAr8fmL4FM
deli,Monkey,Male,Lazy,Nature,24-May,monch,K.K. Étude,Gorgeous,Elegant,Purple,Brown,blue simple-cloth wall,simple blue flooring,4125;3584;929;3701;3702;2554;3490;3438;2560;2605;7134;4111;1411;4003;1850;7467,mnk08,zh7aML2hmMKy5bbiR
APPLE,Hamster,Female,Peppy,Play,24-Sep,cheekers,I Love You,Cute,Simple,Colorful,Red,apple wall,simple white flooring,1792;3251;3490;7134;3122;928;2560;1783;7327;4003;2605;4134;3996;2596;9766;3400,ham01,bEHwPJ3GBDZaNE4Bd
Gruff,Goat,Male,Cranky,Music,29-Aug,bleh eh eh,K.K. Rockabilly,Cool,Gorgeous,Purple,Black,rustic-stone wall,gray vinyl flooring,937;791;1045;863;1803;4139;4144;4141,goa04,oTGj76upYyWRcG34C
  Baabara  ,Sheep,Female,Snooty,Fashion,28-Mar,daahling,K.K. Cruisin',Gorgeous,Elegant,Purple,Blue,stormy-night wall,brown iron-parquet flooring,3468;4015;7348;7348;3958;3428;4027;794;3950;1840;3955;3951;10244;4102,shp01,LAWZdKWcejrkbikco
huck,Frog,Male,Smug,Fitness,9-Jul,hopper,To The Edge,Simple,Cool,Green,Yellow,straw wall,dirt flooring,7142;1120;717;7345;7393;4043;4073;3675;10743;4037;2559,flg11,KWx6zRZpPoaQy2PMD
  STELLA  ,Sheep,Female,Normal,Nature,9-Apr,baa-dabing,Only Me,Simple,Simple,Yellow,Beige,rose wall,dark herringbone flooring,3683;2605;3995;1913;4132;4030;2560;3442;8826;3438;3439;3490;1783;7140;3443;4003,shp03,PnrARfxc8picdtvL8
  frita  ,Sheep,Female,Big Sister,Music,16-Jul,oh ewe,K.K. Rockabilly,Active,Cute,Yellow,Red,pink diner wall,yellow floral flooring,791;1802;971;7392;1866;4143;4142;918;4139;954;3416,shp11,79EahCMHHzp3BwH7x
raymond,Cat,Male,Smug,Nature,1-Oct,crisp,K.K. Cruisin',Elegant,Cool,Black,Gray,office wall,monochromatic tile flooring,840;4116;1750;3590;1232;832;3560;839;3784;1744;1750;4101;4099;3783;1870;8464,cat23,2nbzgWsuDBSN2LeEj
Miranda,Duck,Female,Snooty,Fashion,23-Apr,quackulous,K.K. Sonata,Elegant,Gorgeous,Blue,Purple,arched-window wall,brown iron-parquet flooring,1840;3957;3955;2554;987;3958;794;3974;4129;4106,duk12,9AE7bEWmthdc7kZ4m
lobo,Wolf,Male,Cranky,Education,5-Nov,ah-rooooo,K.K. Rock,Cool,Active,Black,Beige,rustic-stone wall,rosewood flooring,793;4037;8417;4041;4044;3064;4036;4043;4119;2770;3943;3992;3967,wol01,9QsHyDimk75LPvBsn
  HOPPER  ,Penguin,Male,Cranky,Music,6-Apr,slushie,Comrade K.K.,Cool,Simple,Yellow,Red,iceberg wall,iceberg flooring,3468;533;533;3500;3398;1111;5337;3697;3500,pgn03,FP3bdBM2RSjWTXYHK
OLAF,Anteater,Male,Smug,Education,19-May,whiffa,K.K. Milonga,Elegant,Gorgeous,Red,Black,black-brick wall,simple red flooring,3957;3951;7190;1840;4030;3950;3954;863;2554,ant09,ar73BhCacgwhTNYnX
  WINNIE  ,Horse,Female,Peppy,Fashion,31-Jan,hay-OK,K.K. Country,Cool,Simple,White,Gray,backyard-fence wall,backyard lawn,1626;1626;5970;4003;3509;1620;1627;3467;1631;1170;1157,hrs05,b4HwfyvThyipScSAv
FRANK,Eagle,Male,Cranky,Education,30-Jul,crushy,K.K. Casbah,Gorgeous,Cool,Brown,Yellow,gray shanty wall,boxing-ring mat,4015;1452;7152;4013;833;3560;1232;787;7800,pbr06,8BgXtjz2mfGBrZwCm
midge,Bird,Female,Normal,Education,12-Mar,tweedledee,K.K. Stroll,Cute,Simple,Pink,Pink,yellow quilt wall,cute white-tile flooring,3995;7134;3999;1757;3996;3624;3997;4001;4000;4003;3998,brd08,WSnecxx3DREYtZ3p3
velma,Goat,Female,Snooty,Education,14-Jan,blih,Mr. K.K.,Elegant,Gorgeous,Light blue,Purple,classic-library wall,light parquet flooring,1875;3681;3955;1058;2772;2554;3958;3951;794;1042,goa06,PkAYXk745ZHBE69a9
  Drago  ,Alligator,Male,Lazy,Nature,12-Feb,burrrn,Imperial K.K.,Elegant,Gorgeous,Orange,Red,imperial wall,imperial tile,3971;6031;6031;7797;7796;8415;8415;3972;794;3970;3972;7021,crd08,qjqzytG4LCEoong4w
Scoot,Duck,Male,Jock,Fitness,13-Jun,zip zoom,My Place,Active,Simple,Beige,Blue,backyard-fence wall,backyard lawn,4113;7142;3468;1631;3348;4042;1234;4102;3960;4003,duk10,wanb7GiQ9fe6puXe8
  KID CAT  ,Cat,Male,Jock,Fitness,1-Aug,psst,Go K.K. Rider,Active,Simple,Red,Red,chain-link fence,sandlot,1452;2556;7845;1567;144;2614;4226;3672;787,cat10,Jd6z54x98v4uJhubB
  Harry  ,Hippo,Male,Cranky,Education,7-Jan,beach bum,K.K. Rally,Cool,Simple,Green,Orange,aqua tile wall,white mosaic-tile flooring,3468;4017;7153;3689;3553;1111,hip08,dtAkeJzvhPfGXH7pk
GONZO,Koala,Male,Cranky,Nature,13-Oct,mate,Surfin' K.K.,Simple,Cool,Black,Green,cabin wall,wooden-knot flooring,4117;4043;5970;3270;3282;704;4041;9314;4036;4338,kal04,SFkpDu8Bxgot4ShcP
rhonda,Rhino,Female,Normal,Music,24-Jan,bigfoot,K.K. Ballad,Elegant,Gorgeous,Purple,Black,purple desert-tile wall,simple purple flooring,3983;4001;3999;1757;3998;3978;5150;3977;4030;4017,rhn01,BjYi6hQsSg6sQcxhm
BETTINA,Mouse,Female,Normal,Education,12-Jun,eekers,Animal City,Simple,Elegant,White,Red,blackboard wall,birch flooring,4138;4138;4109;4026;3561;3445;4135;928;3951;794;998;918;7337;3271;954;920,mus15,r9JpujcMdgTRABad9
Pompom,Duck,Female,Peppy,Music,11-Feb,rah rah,K.K. Soul,Cute,Simple,Pink,Light blue,beaded-curtain wall,green retro flooring,2713;7134;2554;7132;7137;2560;4003;1783;3251;1845;9547;3949,duk05,D4EfZuiFQqxXAaxa5
gaston,Rabbit,Male,Cranky,Education,28-Oct,mon chou,K.K. Song,Simple,Gorgeous,Brown,Orange,ramshackle wall,ramshackle flooring,4008;717;3229;4393;7161;4038;10742;7160;5970;3697;7345,rbt04,5TXosg4PLkG4jZ3AD
willow,Sheep,Female,Snooty,Fashion,26-Nov,bo peep,K.K. Soul,Cute,Gorgeous,White,Pink,arched-window wall,arabesque flooring,3449;1127;915;3974;3957;4129;1058;3442;3443;1449;3951;742;10244;6078,shp07,HT58xc2w7ootdCRWb
  Marshal  ,Squirrel,Male,Smug,Music,29-Sep,sulky,K.K. Bossa,Elegant,Cool,Light blue,Blue,blue delicate-blooms wall,modern wood flooring,2554;1081;3681;9766;1161;3615;1845;8394;3271;3560;915;7337;4338;920;954;8297;1866;3194;918,squ17,ZZJJbE5zFrcDXfLEF
BUBBLES,Hippo,Female,Peppy,Fashion,18-Sep,hipster,K.K. Stroll,Active,Cute,Purple,Pink,perforated-board wall,pine-board flooring,7535;4226;3946;3960;4003;7529;7535;2012;2010;1744;3992;7264;955,hip02,K4k5ieRWQieA6Fqm8
Diana,Deer,Female,Snooty,Education,4-Jan,no doy,Farewell,Elegant,Gorgeous,Purple,Pink,white botanical-tile wall,stone tile,3468;4054;1840;4017;3983;4051;3340;7236;742;4046;10244,der08,QGyW9QJjjxo3jta6j
  Iggly  ,Penguin,Male,Jock,Fitness,2-Nov,waddler,I Love You,Active,Simple,Red,Blue,ice wall,ice flooring,1866;3416;4066;4066;3505;3497;4279;4279;4279;3497;4279;4279;4279;4003;667,pgn11,qZtYZEyzeZv2qhoJD
  HANS  ,Gorilla,Male,Smug,Fitness,5-Dec,groovy,K.K. Sonata,Elegant,Gorgeous,Gray,Blue,ski-slope wall,ski-slope flooring,1429;5970;7281;533;533;5972;533;1434;1430;4042;530;530;889;3697,gor10,rAgKSRJPoazkBPS5d
  Alli  ,Alligator,Female,Snooty,Fashion,8-Nov,graaagh,K.K. Soul,Gorgeous,Elegant,Yellow,Brown,woodland wall,rosewood flooring,4051;4054;790;4046;4049;4053;1836;4052;4014;3775,crd01,dcB3BpFLtcXHAbt5i
Piper,Bird,Female,Peppy,Play,18-Apr,chickadee,K.K. Synth,Elegant,Gorgeous,Black,White,cityscape wall,monochromatic tile flooring,4015;4053;3957;4046;3955;3428;3467;3951;8418;4338,brd05,B9nGDw29C3MeZeiob
PEACHES,Horse,Female,Normal,Education,28-Nov,neighbor,Forest Life,Cute,Simple,Colorful,Light blue,cabin wall,dirt flooring,3675;5970;7142;4117;3251;4036;5973;4038;928;4003;4040;3818,hrs08,SRuoS7z66df8wdynd
  Angus  ,Bull,Male,Cranky,Fitness,30-Apr,macmoo,K.K. Calypso,Cool,Cool,Red,Black,wild-wood wall,red-and-black vinyl flooring,937;3957;4132;3956;863;3194;3818;793;2554;3958;864,bul00,jHQfWetzGf6Zhgt4u
  tabby  ,Cat,Female,Peppy,Music,13-Aug,me-WOW,DJ K.K.,Active,Cool,Black,Gray,manga-library wall,tiger-print flooring,3230;1759;4125;2713;1792;3252;3672;4003;1929;3672;3194;1032;3251;870;1850;1845,cat12,P3ouRnR3NRSch3LaC
  cyd  ,Elephant,Male,Cranky,Music,9-Jun,rockin',K.K. Metal,Cool,Active,Black,Yellow,skull wall,skull-print flooring,3943;3200;3195;1803;3270;9642;3193;3196;3559;132;4757,elp12,edCh8EDStBMbyskYa
  chief  ,Wolf,Male,Cranky,Music,19-Dec,harrumph,Rockin' K.K.,Cool,Simple,White,Gray,street-art wall,paintball flooring,7161;3948;1759;2556;1823;3193;787;2020;1889;3672;3965;1899;2432;8096;7404;870,wol00,d3STnZCPAxLzrEzMd
Kiki,Cat,Female,Normal,Education,8-Oct,kitty cat,Only Me,Simple,Simple,Brown,Beige,mod wall,simple white flooring,3950;1081;3952;8465;3271;4003;915;3270;3943,cat04,QTwru2TFs99vCznLg
MERRY,Cat,Female,Peppy,Fashion,29-Jun,mweee,Neapolitan,Cute,Cute,Pink,Light blue,beaded-curtain wall,orange retro flooring,4132;1227;2554;2713;790;3616;3439;1913;4130,cat16,uhd4aEuBudwu9pM6E
portia,Dog,Female,Snooty,Fashion,25-Oct,ruffian,K.K. Disco,Elegant,Gorgeous,Purple,Black,blue desert-tile wall,rosewood flooring,1227;7235;4109;3955;4027;4030;3271;4019;3993;998;1050;928;3560;954;4338,dog05,XAP6AcqdXDufCkTAd
Snake,Rabbit,Male,Jock,Fitness,3-Nov,bunyip,King K.K.,Active,Simple,Black,Blue,mortar wall,dirt flooring,3580;3553;3553;343;343;7393;710;2559,rbt03,LZcGjneEs8xmxNE3q
  SAMSON  ,Mouse,Male,Jock,Fitness,5-Jul,pipsqueak,Rockin' K.K.,Simple,Active,Red,Yellow,blue subway-tile wall,cool-paint flooring,4546;1263;1177;4756;2596;3975;85;4753;4762;3822,mus04,XFzdPqYwq4n98EpuF
  TUCKER  ,Elephant,Male,Lazy,Nature,7-Sep,fuzzers,K.K. Safari,Active,Simple,Yellow,Orange,jungle wall,swamp flooring,343;343;10743;7043;3398;3398;7345;4093;3398;4073,elp09,96HCsK6H2c7J2ARMa
  clyde  ,Horse,Male,Lazy,Play,1-May,clip clawp,Neapolitan,Simple,Cute,Green,White,orange wall,birch flooring,1792;7392;4546;1263;1241;3616;2713;7134;3975;4011;3976,hrs10,2iBqzRfTRaddw2EXi
  keaton  ,Eagle,Male,Smug,Music,1-Jun,wingo,Drivin',Gorgeous,Cool,Blue,White,tree-lined wall,parking flooring,4759;4759;1881;146;146;7262;4759;4140;144;3556;3672;1708,pbr08,WRueK9fukhKgMrWZa
fuchsia,Deer,Female,Big Sister,Music,19-Sep,precious,K.K. Rock,Cool,Cool,Pink,Pink,pink shanty wall,brown floral flooring,2554;4129;3997;3195;3995;3621;4003;849;4002;3428;3996;1644,der06,Z98WrodjQxXZAACLA
  Maelle  ,Duck,Female,Snooty,Fashion,8-Apr,duckling,Café K.K.,Cool,Simple,Pink,White,tree-lined wall,sidewalk flooring,1626;1626;7236;1185;4412;1866;1627;3270;918;954;2014;8297;1092,duk03,bHTDLovALeQz9PK4z
  Coco  ,Rabbit,Female,Normal,Education,1-Mar,doyoing,K.K. Jongara,Simple,Cute,Beige,Green,rammed-earth wall,floral rush-mat flooring,4393;4073;343;343;3398;3398;3675;3229;3397;4073;4025;2559,rbt02,2g7sGcTtHcJeWtwNM
CARMEN,Rabbit,Female,Peppy,Fashion,6-Jan,nougat,K.K. Stroll,Elegant,Cute,Green,Beige,cute white wall,mint dot flooring,4053;1557;3995;4129;4045;7531;908;4027;3445;5543;1227;5543;4054;4338;4048;4030;4069;3252,rbt16,pAFu4JyZ333Ysoezk
  egbert  ,Chicken,Male,Lazy,Play,14-Oct,doodle-duh,Lucky K.K.,Simple,Simple,Beige,Brown,cabin wall,wooden-knot flooring,3468;3468;1232;4015;3689;3689;4044;4044;4037;7333;7333;4042;7333;1892;4048,chn02,jRwtNxCCWuznSMCZy
  cousteau  ,Frog,Male,Jock,Fitness,17-Dec,oui oui,Imperial K.K.,Elegant,Gorgeous,Green,Red,exquisite wall,imperial tile,10742;10742;7796;8415;3971;7797;3974;3970;329;7797;3972;794;7282,flg10,XPhZym7Wxu926eLD8
FREYA,Wolf,Female,Snooty,Fashion,14-Dec,uff da,Lucky K.K.,Elegant,Cool,Green,Blue,heavy-curtain wall,rose flooring,3957;3955;3950;3950;1058;4028;3958;2772;3952;742;794;4230;1652,wol05,qyoMuqvPA4Wqp3Ybn
  Raddle  ,Frog,Male,Lazy,Nature,6-Jun,aaach—,Mr. K.K.,Elegant,Simple,White,Gray,white simple-cloth wall,green rubber flooring,1326;4026;4030;7529;7528;787;7529;833;1317;2014;3968;2014;4016;3428;2012,flg15,Xi6NDcp6NptRB9WDz
cranston,Ostrich,Male,Lazy,Nature,23-Sep,sweatband,K.K. Faire,Simple,Cool,Beige,Brown,white subway-tile wall,stone tile,3971;3973;3974;3949;725;7348;7348;3972;3428;4338;997;7282;3970;8415,ost06,Wbivs7b7D3NZ7q9y9
mallary,Duck,Female,Snooty,Fashion,17-Nov,quackpth,K.K. Bossa,Cool,Gorgeous,Blue,White,mossy-garden wall,backyard lawn,1631;4113;4003;4100;3775;3509;1829;1628;1624;8419,duk06,jhXJGTWpk3ycr6kZC
  candi  ,Mouse,Female,Peppy,Play,13-Apr,sweetie,Neapolitan,Simple,Cute,Light blue,Yellow,white painted-wood wall,mint dot flooring,2560;3438;7132;3998;3995;7137;7232;4003;4027;3490;7134,mus08,4CimNs6T9nDNQuiYH
axel,Elephant,Male,Jock,Fitness,23-Mar,WHONK,K.K. Dixie,Active,Simple,Green,White,blue playroom wall,blue rubber flooring,3205;1181;4756;4759;7392;1558;5543;4761;2731;1559;4762;3623,elp06,K3aj3w7fLcMETyuzf
  BIANCA  ,Tiger,Female,Peppy,Play,13-Dec,glimmer,K.K. House,Cute,Cute,Pink,Orange,white-brick wall,leopard-print flooring,2713;4052;7134;3436;7137;4141;4046;4000;3270;1836;1050;3618;3562,tig06,KGECko2WSNbQp4oRY
  FRIGA  ,Penguin,Female,Snooty,Fashion,16-Oct,brrrmph,Farewell,Elegant,Gorgeous,Pink,Black,white subway-tile wall,stone tile,4052;4049;4047;4053;4048;2776;4051;3683;3498;1757;4045;4046;4054;4050;929;4030;4017;4003,pgn04,uk9DGWqzxRT4TEJbm
ED,Horse,Male,Smug,Nature,16-Sep,greenhorn,K.K. Ballad,Gorgeous,Elegant,Black,Gray,blue delicate-blooms wall,rosewood flooring,2554;4015;3957;4106;3951;3949;4028;742;6545;796,hrs06,JmHu7aFcqj9hxKupZ
  canberra  ,Koala,Female,Big Sister,Play,14-May,nuh uh,K.K. Island,Active,Cool,Green,Light blue,tropical vista,starry-sands flooring,3684;5150;3345;665;7148;1117;664;3468;7259;7259,kal08,ugiHobiK9QnmA22ym
Poppy,Squirrel,Female,Normal,Education,5-Aug,nutty,Forest Life,Cute,Elegant,Green,Yellow,autumn wall,colored-leaves flooring,7142;4035;6081;880;4043;4042;5635;5975;1082;4038;4338;7788,squ15,NaP65qNMvxYTzTXrs
  lionel  ,Lion,Male,Smug,Music,29-Jul,precisely,K.K. Moody,Gorgeous,Active,Green,Gray,cityscape wall,simple blue flooring,1840;3957;2554;3958;3951;794;3784;9766;2731;3783,lon08,EQYQEL4crTYEN9yJs
  Lolly  ,Cat,Female,Normal,Music,27-Mar,bonbon,Forest Life,Simple,Simple,Gray,Pink,modern wood wall,green vinyl flooring,2554;1557;4109;3449;1561;4338;1558;998;3122;4111;3208;3785;3785,cat18,ucvTsRXewrZsFj64Y
  ROD  ,Mouse,Male,Jock,Fitness,14-Aug,ace,K.K. March,Active,Cool,Blue,Light blue,sea view,ship deck,791;3468;863;3596;4102;7259,mus05,ezLuGMubv35hSamPr
ZELL,Deer,Male,Smug,Music,7-Jun,pronk,K.K. Swing,Cool,Gorgeous,Purple,Gray,cityscape wall,monochromatic tile flooring,1875;863;4129;4053;4053;3951;794;3775;4046;4230;3681,der02,LodBWtdMRZbjFNga9
  ELLIE  ,Elephant,Female,Normal,Nature,12-May,li'l one,K.K. Ballad,Simple,Cute,Gray,Pink,beige art-deco wall,rose flooring,4132;1081;3681;3957;3951;3959;794;1042;7368;4027;3958;4069;7137,elp07,odt2kdswLHE2YMkQd
frobert,Frog,Male,Jock,Fitness,8-Feb,fribbit,K.K. Ragtime,Active,Simple,Blue,Colorful,green playroom wall,green vinyl flooring,3122;3438;2731;7524;4759;2560;4132;7528;3439;4756;7338;4757;4753;7454,flg02,YXidGR87Fi7mov7Po
  marina  ,Octopus,Female,Normal,Music,26-Jun,blurp,Soulful K.K.,Cute,Cute,Pink,Red,strawberry-chocolate wall,berry-chocolates flooring,1757;3624;4002;3998;2776;3995;4001;4000;4003,ocp01,BQCu2GxBFFTuigDAY
  CLAUDIA  ,Tiger,Female,Snooty,Music,22-Nov,ooh la la,K.K. Synth,Gorgeous,Elegant,Purple,White,cityscape wall,simple red flooring,3957;2554;790;3615;3971;1840;3971;4030;3951;4107;975;4017,tig05,xCyuFvwryTntgPgvW
SHERB,Goat,Male,Lazy,Nature,18-Jan,bawwww,Hypno K.K.,Simple,Cute,Gray,Blue,purple desert-tile wall,simple purple flooring,3995;4002;7133;3998;3624;3997;4000;4003;4111,goa09,XaaDkAfHynrEY2YS4
MAC,Dog,Male,Jock,Fitness,11-Nov,woo woof,My Place,Active,Cool,Red,Black,ivy wall,sandlot,1631;7142;1799;3348;7802;3229;1620;4113;4393;4042;1432;3697,dog14,bLyixhvrCHgBYzvoX
  WALT  ,Kangaroo,Male,Cranky,Fitness,24-Apr,pockets,K.K. Lament,Cool,Cool,Black,Gray,bamboo-grove wall,mossy-garden flooring,7452;3580;7393;4269;10743;677;710;2754,kgr08,wN36ADi7MxiLNJ3Eu
KEN,Chicken,Male,Smug,Education,23-Dec,no doubt,K.K. Rally,Cool,Simple,Purple,Blue,standard tearoom wall,tatami,3622;722;7391;725;10743;10742;3802;3407;5636;7282,chn13,gQZ4xwZeRvqmswoGY
  Robin  ,Bird,Female,Snooty,Fashion,4-Dec,la-di-da,K.K. Cruisin',Elegant,Cool,Light blue,Purple,brown botanical-tile wall,brown argyle-tile flooring,4080;4051;4046;4054;3971;4035;4048;4338;3948;1829;1829;331,brd01,xK49Rcb2Lnm5P4aLM
Rooney,Kangaroo,Male,Cranky,Fitness,1-Dec,punches,K.K. Adventure,Active,Active,Gray,Black,gray shanty wall,steel flooring,1452;290;7152;4013;7653;3560;3960;3431;3560;1456;4003;7800,kgr09,9wnSweJyqfd4izW4M
  JEREMIAH  ,Frog,Male,Lazy,Play,8-Jul,nee-deep,Hypno K.K.,Simple,Simple,Orange,Yellow,blue playroom wall,blue dot flooring,1792;5543;3623;86;2560;4003;3995;2605;3208;3438;7134;4111;4308,flg07,Z9mmrgQ578rPeLdjp
  KEVIN  ,Pig,Male,Jock,Play,26-Apr,weeweewee,K.K. Rockabilly,Active,Simple,Black,Red,gray shanty wall,concrete flooring,1452;4026;4013;7845;9766;7800;7339;7529;7152;3672;7151;787;3431,pig15,fGznAwhaxGN66K38Q
Tutu,Bear,Female,Peppy,Fashion,15-Sep,twinkles,Bubblegum K.K.,Cute,Simple,Pink,Red,pink-striped wall,red dot flooring,3995;3998;3999;3624;929;3996;3997;4002;4000;1227;4003,bea07,HqboYio5a8bRbKtcL
kody,Cub,Male,Jock,Fitness,28-Sep,grah grah,My Place,Active,Simple,Colorful,White,blue playroom wall,blue dot flooring,4759;4761;3439;5543;3122;4762;3438;3449;4111;2560;4756;4753;4003,cbr04,j9pPANZ9zsm6Mobh2
  penelope  ,Mouse,Female,Peppy,Fashion,5-Feb,oh bow,Bubblegum K.K.,Cute,Gorgeous,Pink,Red,cute red wall,red dot flooring,3995;3998;7134;3997;3996;4017;1757;4002;4001;3624;4000;4003,mus17,L9mYm8tvKg32G85cv
Erik,Deer,Male,Lazy,Nature,27-Jul,chow down,Drivin',Simple,Simple,Beige,Red,ski-slope wall,ski-slope flooring,7281;3497;4003;3502;3505;3498;3503,der09,BJcXu5LtRBo8DdZ2v
Biff,Hippo,Male,Jock,Fitness,29-Mar,squirt,The K. Funk,Gorgeous,Active,Black,Blue,street-art wall,paintball flooring,4226;2010;9619;7654;3965;1185;2614;787,hip04,sT2KXbN2N3dqB6aaN
ANICOTTI,Mouse,Female,Peppy,Fashion,24-Feb,cannoli,Neapolitan,Simple,Elegant,Red,Pink,beaded-curtain wall,kitschy tile,4132;2560;2605;9766;928;3400;3251;3438;3439;7137;7236;1913;1845;1836;7335,mus10,oGr6N9vC3TD9raXbf
SOLEIL,Hamster,Female,Snooty,Education,9-Aug,tarnation,K.K. Oasis,Cool,Gorgeous,Red,Yellow,imperial wall,imperial tile,5956;3971;6031;1840;3972;794;3973;3970;3974;4017;997;7282,ham04,EzZzup4KP8t2FvL8f
  Joey  ,Duck,Male,Lazy,Play,3-Jan,bleeeeeck,Marine Song 2001,Simple,Simple,Green,Blue,tropical vista,sandy-beach flooring,7148;4048;3348;9584;664;1117;1708;3684;7358;3345,duk01,EkpmSi299YR9BP96Y
Rosie,Cat,Female,Peppy,Music,27-Feb,silly,Bubblegum K.K.,Cute,Cute,Pink,Red,purple dotted wall,blue-paint flooring,4002;1757;4000;3998;3995;4001;3997;3999;2605;3996;7137;3428;4003,cat02,NTwyXi4RAX4EKTcW6
DIVA,Frog,Female,Big Sister,Fitness,2-Oct,ya know,K.K. Oasis,Gorgeous,Elegant,Purple,Light blue,ancient wall,rocky-mountain flooring,5959;5959;8702;8702;8825;3473;3772;5165;5165;5165,flg18,FmQ9x68HncTm8vdsG
  JACOB  ,Bird,Male,Lazy,Nature,24-Aug,ya feel,K.K. Song,Simple,Simple,Green,Red,garbage-heap wall,garbage-heap flooring,7142;5972;3675;4038;3697;3229;5973;3672;1823,brd11,HBYP4stJTe3eGEepn
PAOLO,Elephant,Male,Lazy,Nature,5-May,pal,To The Edge,Simple,Elegant,Gray,Light blue,blue desert-tile wall,blue mosaic-tile flooring,3468;1840;4130;4017;4017;4030;7153;3683;4072;2776;7333;4046;4048,elp05,jH9AH2BeLRwtsFwHQ
  O'Hare  ,Rabbit,Male,Smug,Nature,24-Jul,amigo,K.K. Island,Active,Cool,Blue,Light blue,ocean-horizon wall,water flooring,7148;665;7259;3468;9584;3684;1708;8473;7358;7013;3064;7358,rbt15,WDB4w6DdNpdhCvEuj
  dora  ,Mouse,Female,Normal,Education,18-Feb,squeaky,K.K. Faire,Simple,Elegant,Blue,Light blue,dojo wall,floral rush-mat flooring,717;10743;739;3230;3557;7047;10742;3554;7048;7282,mus00,9Qpj5fqp4E8PvGGFw
vivian,Wolf,Female,Snooty,Education,26-Jan,piffle,K.K. Cruisin',Gorgeous,Elegant,Gray,Purple,white-brick wall,dark wood-pattern flooring,4015;3270;3971;4052;4053;3986;4118;4046;4338;4054;928;4076;3951;3948;1868;4027,wol08,tWyG3bE5fwvNNGpWM
ROWAN,Tiger,Male,Jock,Fitness,26-Aug,mango,Surfin' K.K.,Active,Simple,Light blue,Gray,bamboo wall,tiger-print flooring,710;3974;716;3973;3558;3972;4338;689;3970,tig01,WqtXZv8CLheckbHoF
  Violet  ,Gorilla,Female,Snooty,Fitness,1-Sep,sweetie,K.K. Bazaar,Gorgeous,Cool,Purple,Pink,black botanical-tile wall,lobby flooring,7235;1840;6031;2554;4054;10244;4017;4030;3951;4338;4027,gor07,z7N6aubfytXa7Z4Me
  PINKY  ,Bear,Female,Peppy,Fashion,9-Sep,wah,Imperial K.K.,Cute,Simple,Red,Pink,bamboo wall,floral rush-mat flooring,3973;3971;3658;329;3972;3974;1708;4033;3449;4094,bea01,CLQDMiLJYw9de8t7c
Tammi,Monkey,Female,Peppy,Fashion,2-Apr,chimpy,Imperial K.K.,Cute,Active,Purple,Green,bamboo wall,bamboo flooring,6031;7796;7797;10743;7282;3971;3974;717;3344;3344;1606;3970;4033,mnk03,vYWvCyge46SGeHfHH
